UID,LYOR,OR,CHANGE,SN,REG,PE,QL,AC,GGR,PB,PBR
934,390,934,544,Parbold,North West,593,1172,505,917,£350k-£650k,427
935,756,934,178,Poringland,East of England,852,734,788,777,£350k-£650k,426
936,753,936,183,Luton,East of England,446,822,1148,581,£350k-£650k,428
937,270,937,667,Steyning,South East,446,1307,195,1101,£350k-£650k,429
938,1249,938,-311,Maghull,North West,682,477,1290,482,less than £350k,407
939,801,939,138,Llanbradach,Wales,377,538,507,1357,less than £350k,408
940,1137,940,-197,Hinckley,East Midlands,1107,837,1195,56,£350k-£650k,430
941,1155,941,-214,Horsforth,Yorkshire and Humberside,642,746,1046,674,£350k-£650k,431
942,1050,942,-108,Newhey,North West,378,185,903,1364,less than £350k,409
943,1281,943,-338,Catshill,West Midlands,1268,354,1241,174,£350k-£650k,432
944,1243,944,-299,Litherland,North West,721,150,1184,1111,less than £350k,410
945,1063,945,-118,Haverhill,East of England,1251,101,1055,956,£350k-£650k,433
946,1332,946,-386,Wednesbury,West Midlands,909,318,1238,655,less than £350k,411
947,1156,947,-209,Earby,North West,954,1270,723,233,less than £350k,412
948,989,948,-41,Kirton (Boston),East Midlands,1270,618,579,714,less than £350k,413
949,1294,949,-345,Cleveleys,North West,682,207,1358,718,less than £350k,414
950,906,950,44,Sale,North West,647,633,1169,624,£350k-£650k,434
951,551,951,400,Thame,South East,605,1355,356,607,Over £650k,102
952,769,952,183,Fulwood,North West,609,469,1165,841,less than £350k,415
953,776,953,177,Porthcawl,Wales,126,625,1037,1244,£350k-£650k,435
954,755,954,199,Whitwell (Bolsover),East Midlands,1222,153,448,1304,less than £350k,416
955,1119,955,-164,Shavington,North West,1253,444,1108,327,less than £350k,417
956,1157,956,-201,Filton,South West,1039,1062,1142,44,£350k-£650k,436
957,803,957,154,Pevensey Bay,South East,181,247,1163,1314,£350k-£650k,437
958,807,958,151,Winsford (Cheshire West and Chester),North West,986,261,1117,883,less than £350k,419
959,688,958,270,Crowle (North Lincolnshire),Yorkshire and Humberside,1303,393,414,1070,less than £350k,418
960,1235,960,-275,Immingham,Yorkshire and Humberside,797,1094,1159,121,less than £350k,420
961,524,961,437,Denby Dale,Yorkshire and Humberside,952,849,500,994,less than £350k,421
962,1114,962,-152,Partington,North West,849,22,1254,1293,less than £350k,422
963,640,963,323,Pudsey,Yorkshire and Humberside,1055,966,607,665,less than £350k,423
964,1165,964,-201,Rothwell,Yorkshire and Humberside,1000,233,1100,938,less than £350k,424
965,936,965,29,Willand,South West,888,1222,520,637,£350k-£650k,438
966,1074,966,-108,Alveston,South West,1065,636,651,926,£350k-£650k,439
967,1236,967,-269,Taverham,East of England,630,418,1140,949,£350k-£650k,440
968,1183,968,-215,Halesowen,West Midlands,1035,762,1080,352,less than £350k,425
969,377,969,592,Cricklade,South West,333,1230,144,1312,£350k-£650k,441
970,615,969,354,Eccleston,North West,1057,672,866,663,less than £350k,426
971,475,971,496,Rhondda,Wales,242,609,684,1338,less than £350k,427
972,1132,971,-161,Willaston,North West,1182,470,550,1055,£350k-£650k,442
973,857,973,116,Cheadle,West Midlands,1025,1248,356,648,less than £350k,428
974,731,974,243,Gorseinon,Wales,313,1187,1099,521,less than £350k,429
975,779,975,196,Stone (Stafford),West Midlands,306,1301,761,705,less than £350k,430
976,396,976,580,Snodland,South East,293,786,559,1311,£350k-£650k,443
977,1158,977,-181,Bishop's Cleeve,South West,446,999,880,859,£350k-£650k,444
978,582,977,395,Rhosllanerchrugog,Wales,672,397,788,1230,less than £350k,431
979,1352,979,-373,Arnold,East Midlands,1284,225,1311,255,less than £350k,432
980,1266,980,-286,Rowley Regis,West Midlands,577,503,1340,565,less than £350k,433
981,642,981,339,Torpoint,South West,76,927,787,1300,less than £350k,434
982,1021,982,-39,Chalfont St,South East,446,881,552,1226,Over £650k,103
983,901,982,81,Long Stratton,East of England,1085,631,532,1049,£350k-£650k,445
984,1245,984,-261,Horndean,South East,446,777,1320,393,£350k-£650k,446
985,1135,985,-150,Dersingham,East of England,446,808,899,1003,£350k-£650k,447
986,1324,986,-338,North Ferriby,Yorkshire and Humberside,933,975,927,480,less than £350k,435
987,313,987,674,Boroughbridge,Yorkshire and Humberside,303,1358,366,870,£350k-£650k,448
988,747,988,241,Platt Bridge,North West,925,282,1029,1064,less than £350k,436
989,985,989,4,Coxheath,South East,966,299,970,1068,£350k-£650k,449
990,500,990,490,Romiley,North West,295,791,1112,944,£350k-£650k,451
991,1142,990,-152,Kingswinford,West Midlands,808,605,1262,442,£350k-£650k,450
992,752,992,240,South Ockendon,East of England,847,515,1243,561,£350k-£650k,453
993,953,992,39,Redditch,West Midlands,1032,429,1230,529,£350k-£650k,452
994,928,994,66,Castleford,Yorkshire and Humberside,1037,478,1247,417,less than £350k,437
995,909,995,86,New Milton,South East,446,1076,1277,250,£350k-£650k,454
996,698,996,298,Crawley Down,South East,716,1321,942,146,£350k-£650k,455
997,564,997,433,March,East of England,754,995,745,799,less than £350k,438
998,804,998,194,Sedgefield,North East,1131,681,498,1021,less than £350k,439
999,499,999,500,Kirkbymoorside,Yorkshire and Humberside,708,1368,105,769,£350k-£650k,456
1000,599,1000,401,Swineshead,East Midlands,1274,379,347,1208,less than £350k,440
1001,1097,1001,-96,Cil-y-coed,Wales,835,735,860,858,£350k-£650k,457
1002,1077,1001,-76,Longton,North West,1171,939,1084,118,£350k-£650k,458
1003,1007,1003,-4,Earl Shilton,East Midlands,1321,219,1079,689,less than £350k,441
1004,572,1004,432,Stoke,South East,978,838,663,872,Over £650k,104
1005,554,1005,451,Caterham,South East,446,1099,988,690,£350k-£650k,459
1006,1042,1006,-36,Pontycymer,Wales,1110,118,564,1368,less than £350k,442
1007,445,1006,561,Tarporley,North West,1277,1257,251,531,£350k-£650k,460
1008,956,1008,52,Widnes,North West,1121,775,1246,97,less than £350k,443
1009,334,1009,675,Williton,South West,742,975,352,1198,£350k-£650k,461
1010,1270,1010,-260,Sharlston,Yorkshire and Humberside,1248,248,1153,639,less than £350k,444
1011,1129,1011,-118,Shotton Colliery,North East,892,32,1293,1234,less than £350k,445
1012,707,1012,305,Harrow,Greater London,702,1309,973,185,Over £650k,105
1013,677,1013,336,Willington (South Derbyshire),East Midlands,551,742,879,1093,£350k-£650k,462
1014,534,1014,480,Gamlingay,East of England,1232,809,151,1177,£350k-£650k,463
1015,853,1015,162,Cheddleton,West Midlands,328,1334,553,892,less than £350k,446
1016,783,1016,233,Bramley,South East,926,552,752,1090,£350k-£650k,464
1017,1198,1017,-181,West Bridgford,East Midlands,802,1096,1191,178,£350k-£650k,465
1018,1297,1018,-279,Thurcroft,Yorkshire and Humberside,1211,79,1315,761,less than £350k,447
1019,992,1019,27,Bourne,East Midlands,1128,1235,728,244,£350k-£650k,466
1020,788,1020,232,South Hayling,South East,40,792,1257,1143,£350k-£650k,467
1021,826,1020,194,Millom,North West,379,486,680,1355,less than £350k,448
1022,1040,1022,-18,Awsworth,East Midlands,1020,617,763,972,less than £350k,449
1023,1140,1022,-118,Rainford,North West,1317,163,992,940,less than £350k,450
1024,894,1024,130,Kingsteignton,South West,678,701,870,1024,£350k-£650k,468
1025,1049,1025,-24,Tuxford,East Midlands,1329,467,284,1192,less than £350k,451
1026,240,1026,786,Shifnal,West Midlands,1008,989,489,959,£350k-£650k,469
1027,658,1027,369,St Columb Major,South West,981,1221,91,1165,£350k-£650k,470
1028,1023,1028,5,Brackley,East Midlands,1191,1023,610,571,£350k-£650k,471
1029,1022,1029,7,Laceby,Yorkshire and Humberside,677,534,772,1214,less than £350k,452
1030,667,1030,363,Swanley,South East,446,895,1232,594,£350k-£650k,472
1031,746,1031,285,Saxilby,East Midlands,657,1027,800,846,less than £350k,453
1032,1136,1032,-104,Seaham,North East,372,324,1307,1039,less than £350k,454
1033,912,1033,121,Great Houghton (Barnsley),Yorkshire and Humberside,1190,27,960,1351,less than £350k,455
1034,998,1034,36,Burnopfield,North East,1062,170,830,1263,less than £350k,456
1035,1176,1035,-141,Worsley,North West,904,402,962,1066,£350k-£650k,473
1036,1214,1036,-178,Southend-on-Sea,East of England,900,1049,1090,316,£350k-£650k,474
1037,733,1037,304,Castle Cary,South West,1022,1139,171,1134,£350k-£650k,475
1038,410,1038,628,Bawtry,Yorkshire and Humberside,1068,346,474,1304,less than £350k,457
1039,1206,1038,-168,Mansfield Woodhouse,East Midlands,1218,106,1065,1102,less than £350k,458
1040,426,1040,614,Borough Green,South East,446,1162,469,1156,£350k-£650k,476
1041,933,1041,108,Aylesham,South East,692,30,1263,1350,£350k-£650k,477
1042,1307,1042,-265,Urmston,North West,937,562,1205,614,£350k-£650k,478
1043,867,1043,176,Alfreton,East Midlands,1095,574,696,1008,less than £350k,459
1044,465,1044,579,Camelford,South West,781,1370,356,396,£350k-£650k,479
1045,1194,1044,-150,South,South East,856,263,1274,886,£350k-£650k,480
1046,1298,1046,-252,Newton Aycliffe,North East,1197,146,1324,626,less than £350k,460
1047,855,1047,192,Portishead,South West,734,1169,982,469,£350k-£650k,481
1048,1310,1048,-262,South Milford,Yorkshire and Humberside,1281,441,1062,559,£350k-£650k,482
1049,1046,1049,3,Indian Queens,South West,1057,1244,601,495,£350k-£650k,483
1050,673,1050,377,Hoo St Werburgh,South East,977,374,1119,888,£350k-£650k,484
1051,565,1051,486,St Just,South West,446,1013,234,1367,£350k-£650k,485
1052,976,1052,76,Long Lawford,West Midlands,1063,99,1183,1137,£350k-£650k,486
1053,835,1053,218,Shortstown,East of England,1158,59,1322,935,£350k-£650k,487
1054,1065,1054,-11,Stevenage,East of England,959,1150,1018,298,£350k-£650k,488
1055,696,1055,359,Holmes Chapel,North West,620,1216,946,568,£350k-£650k,489
1056,1338,1056,-282,Calverton,East Midlands,1290,169,1131,813,less than £350k,461
1057,1120,1057,-63,Hendreforgan,Wales,1138,174,986,1159,less than £350k,462
1058,810,1058,248,Fenstanton,East of England,1324,1322,278,380,£350k-£650k,490
1059,1079,1059,-20,Goole,Yorkshire and Humberside,822,1093,629,912,less than £350k,463
1060,1342,1060,-282,Whitnash,West Midlands,1144,84,1154,1144,£350k-£650k,491
1061,1231,1061,-170,Maltby,Yorkshire and Humberside,1233,210,1286,585,less than £350k,464
1062,1337,1062,-275,Featherstone (South Staffordshire),West Midlands,920,135,1352,918,£350k-£650k,492
1063,1174,1063,-111,Market Warsop,East Midlands,1241,180,972,1075,less than £350k,465
1064,903,1064,161,Crewe,North West,1235,809,932,430,less than £350k,466
1065,642,1065,423,Burton Latimer,East Midlands,1082,737,556,1062,less than £350k,467
1066,647,1066,419,Grays,East of England,590,1311,1058,318,£350k-£650k,493
1067,1096,1067,-29,Netherton,Yorkshire and Humberside,1162,148,855,1257,less than £350k,468
1068,1015,1068,53,Wednesfield,West Midlands,253,479,1347,999,less than £350k,470
1069,596,1068,472,Dalton-in-Furness,North West,1050,897,115,1324,less than £350k,469
1070,1247,1070,-177,Woodingdean,South East,446,93,1372,1219,£350k-£650k,494
1071,964,1071,107,Eye (City of Peterborough),East of England,1334,181,993,977,less than £350k,471
1072,1143,1072,-71,Shevington Vale,North West,680,806,1161,673,less than £350k,472
1073,932,1073,141,Whitworth,North West,956,647,525,1247,less than £350k,473
1074,652,1074,422,Selsey,South East,288,451,958,1343,£350k-£650k,495
1075,336,1075,739,Longtown,North West,256,959,478,1372,less than £350k,474
1076,447,1076,629,Soham,East of England,774,1264,536,844,£350k-£650k,496
1077,970,1077,107,Somersham (Huntingdonshire),East of England,1358,386,342,1233,£350k-£650k,497
1078,1328,1078,-250,Ravenshead,East Midlands,1249,324,1216,575,£350k-£650k,498
1079,252,1079,827,Great Ayton,Yorkshire and Humberside,660,1191,148,1308,less than £350k,475
1080,920,1080,160,Kibworth Harcourt,East Midlands,1364,1280,446,286,£350k-£650k,499
1081,1258,1081,-177,Bedworth,West Midlands,1034,186,1332,790,less than £350k,476
1082,952,1082,130,Cudworth,Yorkshire and Humberside,1168,60,1217,1142,less than £350k,477
1083,902,1083,181,Cheshunt,East of England,788,875,1029,759,Over £650k,106
1084,1350,1084,-266,Longbenton,North East,1208,365,1343,298,less than £350k,478
1085,1254,1085,-169,Clifton (City of Nottingham),East Midlands,1126,590,1106,618,less than £350k,479
1086,968,1086,118,Peasedown St John,South West,791,787,1056,798,£350k-£650k,500
1087,955,1086,131,Weaverham,North West,1059,460,769,1136,less than £350k,480
1088,834,1088,254,Clay Cross,East Midlands,956,1019,976,570,less than £350k,481
1089,1306,1089,-217,Spixworth,East of England,771,482,1289,727,£350k-£650k,501
1090,770,1090,320,Hunmanby,Yorkshire and Humberside,846,901,441,1225,less than £350k,482
1091,1084,1091,7,Prescot,North West,1341,721,1041,311,less than £350k,483
1092,1176,1092,-84,Solihull,West Midlands,890,1233,1089,210,£350k-£650k,502
1093,1199,1093,-106,Kimberley,East Midlands,1243,814,914,506,less than £350k,484
1094,1110,1094,-16,Welwyn Garden City,East of England,896,1065,1268,136,Over £650k,107
1095,509,1095,586,Cowbridge,Wales,930,1343,165,1002,£350k-£650k,503
1096,1029,1096,67,Scunthorpe,Yorkshire and Humberside,1206,408,1185,642,less than £350k,485
1097,1058,1097,39,Ellesmere Port,North West,987,599,1272,527,less than £350k,486
1098,762,1098,336,Bulford Camp,South West,404,985,699,1236,£350k-£650k,504
1099,760,1099,339,Sutton Bridge,East Midlands,586,754,667,1288,less than £350k,487
1100,1024,1100,76,Holsworthy,South West,1093,1052,432,1007,less than £350k,488
1101,823,1101,278,Finedon,East Midlands,1335,652,218,1243,£350k-£650k,505
1102,1211,1102,-109,Skellingthorpe,East Midlands,1259,612,1091,492,£350k-£650k,506
1103,1319,1102,-217,Barlestone,East Midlands,1304,570,1023,573,less than £350k,489
1104,940,1104,164,Jaywick,East of England,385,42,1364,1362,less than £350k,490
1105,1076,1105,29,Tyldesley,North West,1273,329,978,921,less than £350k,491
1106,1178,1106,-72,Golborne,North West,1301,348,1179,595,less than £350k,492
1107,1020,1107,87,Ossett,Yorkshire and Humberside,1192,521,1085,687,less than £350k,493
1108,1030,1108,78,Waltham,Greater London,1006,1158,845,569,Over £650k,108
1109,1167,1109,-58,Banstead,South East,851,1134,1239,218,Over £650k,109
1110,1010,1110,100,Blackhall Colliery,North East,446,57,1314,1354,less than £350k,494
1111,1188,1111,-77,Hindley,North West,1288,334,1011,864,less than £350k,495
1112,950,1112,162,Banks,North West,1012,980,1174,357,less than £350k,496
1113,1329,1113,-216,Sedgley,West Midlands,1164,260,1277,751,less than £350k,497
1114,1196,1114,-82,Houghton Regis,East of England,761,473,1172,1018,£350k-£650k,507
1115,1060,1115,55,Madeley,West Midlands,1237,673,383,1188,less than £350k,498
1116,1219,1116,-103,Rayleigh,East of England,1017,1073,1101,365,£350k-£650k,508
1117,478,1117,639,Chatteris,East of England,1195,918,389,1091,less than £350k,499
1118,1141,1118,-23,Sutton Coldfield,West Midlands,710,1225,1065,481,£350k-£650k,509
1119,1364,1119,-245,Bracebridge Heath,East Midlands,1242,210,1119,994,less than £350k,500
1120,1252,1120,-132,Great Wyrley,West Midlands,820,383,1345,760,less than £350k,501
1121,1041,1121,80,Belton (Great Yarmouth),East of England,261,587,1048,1321,£350k-£650k,510
1122,1153,1121,-32,Marlow Bottom,South East,446,761,1115,1052,Over £650k,110
1123,1305,1123,-182,Edwinstowe,East Midlands,1275,117,1093,1117,less than £350k,502
1124,1358,1123,-235,Ratby,East Midlands,1340,87,1170,1058,£350k-£650k,511
1125,1075,1125,50,Denmead,South East,446,1040,1091,873,£350k-£650k,512
1126,1357,1126,-231,Great Notley,East of England,1215,440,1303,404,£350k-£650k,513
1127,480,1127,647,Bugbrooke,East Midlands,1127,997,598,924,£350k-£650k,514
1128,1180,1128,-52,Waltham,East of England,965,790,776,1053,£350k-£650k,515
1129,1371,1129,-242,East Goscote,East Midlands,1368,421,1309,221,£350k-£650k,516
1130,1273,1130,-143,Swillington,Yorkshire and Humberside,1234,88,1201,1138,less than £350k,503
1131,1304,1131,-173,Haydock,North West,1323,577,1122,445,less than £350k,504
1132,884,1132,248,Cliffe Woods,South East,908,153,1259,1190,£350k-£650k,517
1133,721,1133,412,Pegswood,North East,1020,341,1017,1162,less than £350k,505
1134,699,1134,435,Strensall,Yorkshire and Humberside,341,864,1187,1020,£350k-£650k,518
1135,1083,1135,52,Kenilworth,West Midlands,1238,948,509,953,£350k-£650k,519
1136,1255,1136,-119,Ashton-in-Makerfield,North West,1307,244,1060,990,less than £350k,506
1137,998,1137,139,Pocklington,Yorkshire and Humberside,1137,1284,842,293,£350k-£650k,520
1138,1368,1138,-230,Blackheath,West Midlands,1239,315,1319,520,less than £350k,507
1139,935,1139,204,Paddock Wood,South East,733,1103,955,789,£350k-£650k,521
1140,1186,1140,-46,Caddington,East of England,446,177,1328,1259,£350k-£650k,522
1141,881,1141,260,Mattishall,East of England,1177,942,290,1203,£350k-£650k,523
1142,1303,1142,-161,Camberley,South East,793,1303,1266,62,£350k-£650k,524
1143,962,1142,180,Havering,Greater London,889,1052,1157,473,Over £650k,111
1144,1232,1144,-88,Irlam,North West,736,455,1221,1060,less than £350k,508
1145,1272,1145,-127,New Addington,Greater London,933,133,1364,1056,£350k-£650k,525
1146,1059,1146,87,Gwaun-Cae-Gurwen,Wales,727,240,991,1361,less than £350k,509
1147,929,1147,218,Addlestone,South East,767,1219,1202,325,Over £650k,112
1148,1126,1148,22,Radlett,East of England,1052,1210,1064,285,Over £650k,113
1149,1124,1149,25,Albrighton,West Midlands,1146,1020,754,762,£350k-£650k,526
1150,737,1150,413,East Wittering,South East,169,1317,1334,416,Over £650k,114
1151,1222,1151,-71,Brough,Yorkshire and Humberside,1114,1329,1046,76,less than £350k,510
1152,813,1152,339,Barton-le-Clay,East of England,446,1105,731,1194,£350k-£650k,527
1153,1072,1152,80,Standish,North West,1261,565,925,852,less than £350k,511
1154,1107,1154,47,Westhoughton,North West,1276,439,1087,768,less than £350k,512
1155,1210,1155,-55,Rainworth,East Midlands,1036,220,1360,843,less than £350k,513
1156,1026,1156,130,Warboys,East of England,1359,427,404,1270,£350k-£650k,528
1157,680,1157,477,Dunchurch,West Midlands,1236,844,494,1084,£350k-£650k,529
1158,1080,1158,78,Crosby,North West,1152,1068,567,932,less than £350k,514
1159,1108,1159,51,Carterton,South East,779,793,1172,813,£350k-£650k,530
1160,661,1160,499,Hoddesdon,East of England,642,1301,710,855,£350k-£650k,531
1161,1284,1161,-123,Blidworth,East Midlands,1269,295,1242,734,less than £350k,515
1162,452,1162,710,Catterick,Yorkshire and Humberside,554,964,450,1371,less than £350k,516
1163,744,1163,419,Waltham,East of England,646,1323,1068,424,£350k-£650k,532
1164,1201,1164,-37,Thurnscoe,Yorkshire and Humberside,1200,77,1251,1174,less than £350k,517
1165,1318,1165,-153,Shepshed,East Midlands,1325,1290,808,130,less than £350k,518
1166,946,1166,220,Wombourne,West Midlands,597,1009,1143,838,£350k-£650k,533
1167,526,1167,641,Heathfield,South East,446,1230,964,896,£350k-£650k,534
1168,1274,1168,-106,Bowburn,North East,1119,243,1324,839,less than £350k,519
1169,1361,1169,-192,Holton le Clay,East Midlands,877,463,1252,961,less than £350k,520
1170,1150,1170,20,Hextable,South East,785,275,1207,1232,£350k-£650k,535
1171,1362,1170,-192,Cherry Willingham,East Midlands,1173,604,1110,741,less than £350k,521
1172,758,1172,414,Coven,West Midlands,941,840,997,930,£350k-£650k,536
1173,1277,1172,-105,Billinge,North West,1313,39,1127,1275,less than £350k,522
1174,1105,1174,69,Formby,North West,1131,812,1124,580,£350k-£650k,537
1175,1180,1175,-5,Connah's Quay,Wales,641,638,1235,999,less than £350k,523
1176,1106,1176,70,Shotton,Wales,749,869,1197,769,less than £350k,524
1177,1234,1177,-57,Ashford,South East,694,919,1313,536,Over £650k,115
1178,849,1178,329,Chalgrove,South East,861,655,520,1359,£350k-£650k,538
1179,1339,1179,-160,North Hykeham,East Midlands,1128,579,1353,378,less than £350k,525
1180,1348,1180,-168,Carlton (Gedling),East Midlands,1162,729,1121,629,less than £350k,526
1181,805,1181,376,Great Dunmow,East of England,1282,1249,333,804,Over £650k,116
1182,972,1182,210,Blackrod,North West,1260,89,1005,1309,less than £350k,527
1183,838,1183,345,Enfield,Greater London,962,1270,880,584,Over £650k,117
1184,1238,1183,-55,Swinton,North West,1224,530,1150,715,less than £350k,528
1185,1138,1185,47,Wilstead,East of England,1079,942,997,734,£350k-£650k,539
1186,1146,1186,40,Jacksdale,East Midlands,1175,600,975,963,less than £350k,529
1187,659,1187,528,Etwall,East Midlands,1193,708,469,1240,£350k-£650k,540
1188,1191,1188,-3,Kirkby-in-Ashfield,East Midlands,1205,371,1225,806,less than £350k,530
1189,1355,1189,-166,Moorends,Yorkshire and Humberside,1336,19,1356,1172,less than £350k,531
1190,1260,1190,-70,Upton (Wakefield),Yorkshire and Humberside,1254,50,1355,1087,less than £350k,532
1191,1112,1191,79,Goostrey,North West,1157,1169,669,776,£350k-£650k,541
1192,1239,1192,-47,Sherburn (County Durham),North East,1080,20,1299,1363,less than £350k,533
1193,1130,1193,63,Borehamwood,East of England,1104,723,1348,315,Over £650k,118
